For M5|Adr   255|KD1     R003      21.0 C  1   2|Rb        1.76998 m   |HD         17.466 m   |                      | 
For M5|Adr   256|KD1     S005      21.0 C  1   2|Rf        1.86889 m   |HD         17.152 m   |                      | 
For M5|Adr   257|KD1     S005      21.0 C      2|                      |                      |Z        90.01689 m   | 
For M5|Adr   258|KD1     S005      20.0 C  1   2|Rb        1.85582 m   |HD         35.083 m   |                      | 
For M5|Adr   259|KD1     S006      20.0 C  1   2|Rf        1.53179 m   |HD         35.397 m   |                      | 
For M5|Adr   260|KD1     S006      20.0 C  1   2|Rf        1.53178 m   |HD         35.403 m   |                      | 
For M5|Adr   261|KD1     S005      21.0 C  1   2|Rb        1.85572 m   |HD         35.102 m   |                      | 
For M5|Adr   262|KD1     S006      21.0 C      2|                      |                      |Z        90.34087 m   | 
For M5|Adr   263|KD1     N032      20.0 C  1   2|Rf        1.23160 m   |HD         48.942 m   |                      | 
For M5|Adr   264|KD1     S006      20.0 C  1   2|Rb        2.19452 m   |HD         48.623 m   |                      | 
For M5|Adr   265|KD1     S006      21.0 C  1   2|Rb        2.19459 m   |HD         48.617 m   |                      | 
For M5|Adr   266|KD1     N032      21.0 C  1   2|Rf        1.23163 m   |HD         48.913 m   |                      | 
For M5|Adr   267|KD1     N032      21.0 C      2|                      |                      |Z        91.30381 m   | 
For M5|Adr   268|KD1     N032      21.0 C  1   2|Rb        1.59933 m   |HD         19.293 m   |                      | 
For M5|Adr   269|KD1     N031      21.0 C  1   2|Rf        1.59628 m   |HD         19.413 m   |                      | 
For M5|Adr   270|KD1     N031      21.0 C  1   2|Rf        1.59645 m   |HD         19.414 m   |                      | 
For M5|Adr   271|KD1     N032      21.0 C  1   2|Rb        1.59936 m   |HD         19.292 m   |                      | 
For M5|Adr   272|KD1     N031      21.0 C      2|                      |                      |Z        91.30679 m   | 
For M5|Adr   273|KD1     N030      21.0 C  1   2|Rf        1.43673 m   |HD         15.538 m   |                      | 
